Source Sentence	Target Sentence	Predicted Sentence
The weather is the last truly wild thing on Earth.	الطقس آخر شيء برّي حقاً على الأرضِ.	الطقس هو آخر شيء بريء حقاً على الأرض.
We can't predict it and we can't control it.	نحن لا نَستطيعُ تَوَقُّعه ونحن لا نَستطيعُ السَيْطَرَة عليه.	لا يمكننا التنبؤ بها ولا يمكننا التحكم فيها.
I'm Donal Maclntyre, and I'm going to journey around the world to seek out the wildest weather there is.	أَنا دونال ماكلنتاير , وسَأُسافرُ حول العالمِ للبَحْث عن الطقسِ الأكثر وحشيةً هناك.	أَنا دونال ماكلنتاير , وسَأُسافرُ حول العالمِ للبَحْث عن الطقسِ الأكثر وحشيةً هناك.
In this series, I'm going to experience the fastest winds on Earth.	في هذه السلسلةِ، سَأُواجهُ الرياح الأسرع على الأرضِ.	في هذه السلسلة، سأعيش تجربة أسرع الرياح على وجه الأرض.
136 miles an hour.	مائة و ستة وثلاثون ميل في السّاعة.	136 ميلا في الساعة.
The awesome cycle of water around the planet.	الدورة الرهيبة للماءِ حول الكوكبِ.	الدورة الرهيبة للماءِ حول الكوكبِ.
I've been for...	أنا كُنْتُ ل...	أنا كُنْتُ ل...
I can't talk!	أنالا أَستطيعُالكَلام!	لا أستطيع التحدث!
I'm going to take a ride into the cold heart of winter.	سَآخذُ جولة إلى القلبِ الباردِ للشتاءِ.	سأقوم برحلة إلى قلب الشتاء البارد.
An adventure, I agree, but it gives you a once-in-a-lifetime view of the top of the wo-o-o-rld!	مغامرة، أُوافقُ , لَكنَّه يَعطيك وجهة نظر مرة في العمر قمةِ العــــــــــــــــالم!	مغامرة، أنا أوافق، لكنها تمنحك نظرة مرة واحدة في الحياة على قمة العالم!
I'll experience the dark side of summer.	أنا سَأُواجهُ الجانب المُظلم للصيفِ.	سأجرب الجانب المظلم للصيف.
There's 1.5 million volts hitting my finger right now.	هناك 1.5 مليون فولت يَضْربُ إصبعَي الآن.	هناك 1.5 مليون فولت يصيب إصبعي في الوقت الحالي.
I'm going to get blasted... roasted... soaked and frozen because I want to understand how weather works, the awesome forces that drive it... and how it affects us all.	سَأُصبحُ آدانَ... مُحَمَّص... منَقوعَ و مجمّدَ	سَأُصبحُ آدانَ... مُحَمَّص... منَقوعَ و مجمّدَ
I'll meet those who survived the worst it gets and try to understand why the weather is changing... and what that means for the future.	أنا سَأُقابلُ أولئك الذين نَجوا من أسوأ ما حصل ومحاولة لفَهْم لماذا الطقس يَتغيّرُ... و ماذا يعني ذلك للمستقبلِ.	أنا سَأُقابلُ أولئك الذين نَجوا من أسوأ ما حصل ومحاولة لفَهْم لماذا الطقس يَتغيّرُ... و ماذا يعني ذلك للمستقبلِ.
It's going to be the ride of a lifetime.	هو سَيصْبَحُ جولةَ العمر.	سيكون هذا الرحلة الأروع في حياتك.
"This is...""Wild Weather""!"	"هذا... "" الطقسالقاس""!"	"هذا هو ""الطقس البري""!"
Our Earth is vast - 24,500 miles around - but all our weather takes place within this thin blue streak.	أرضنا واسعةُ - حوالي أربعة وعشرون الف وخمسمائة أميال - لكن كُلّ طقسنا يَحْدثُ ضمن هذا الشريطِ الأزرقِ الرقيقِ.	أرضنا واسعة - بحجم 24,500 ميل حولها - ولكن كل طقسنا يحدث داخل هذا الشريط الأزرق الرفيع.
And it's through that thin blue streak that I'm about to go, to the very top of the weather.	وهو خلال ذلك يُخفّفُ شريطاً أزرقاً بِأَنِّي أَوْشَكْتُ أَنْ أَذْهبَ إلى القمةِ ذاتهاِ مِنْ الطقسِ.	وهو خلال ذلك يُخفّفُ شريطاً أزرقاً بِأَنِّي أَوْشَكْتُ أَنْ أَذْهبَ إلى القمةِ ذاتهاِ مِنْ الطقسِ.
Donal hi.	دونال مرحباً.	دونال مرحباً.
Are you ready for this?	هَلْ أنت جاهز لهذا؟	هل أنت مستعد لهذا؟
